,物料代码_加密,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211_Q2,202211_Q10,202211_Q25,202211_Q50,202211_Q75,202211_Q90,202211_Q98,202212_Q2,202212_Q10,202212_Q25,202212_Q50,202212_Q75,202212_Q90,202212_Q98
0,00734CC22530C97ED87EFAB0C7C0EF0B,8.867,2.472,21.60032,5.1812,5.141736,4.627512,1.156824,0.942596,5.184568,8.098272,8.483632,12.2972,4.841692,5.141512,5.698644,1.456828,1.683256,0.85696,0.985504,0.428476,1.527556,1.084072,0.07786716520786285,0.13618585467338562,0.7994152307510376,1.1640807390213013,1.9633294343948364,3.672286033630371,9.566530227661133,0.1018957868218422,0.151999369263649,0.8858070969581604,1.1707563400268555,1.7338542938232422,3.2486746311187744,9.287795066833496
1,00773C192395FF8D2B33BC5A800CB495,7.98896,3.81416,61.50446,11.295592,6.41088,23.7384,13.18086,15.66432,22.8312,21.168,30.8448,19.53504,9.79776,14.87808,25.355466,5.49735,19.41408,22.9008,8.489679,3.581928,5.8612072,6.5907328,0.15272332727909088,0.5496813058853149,4.9716877937316895,6.549928665161133,9.009384155273438,13.699831008911133,28.731250762939453,0.3178398907184601,0.7508561015129089,5.3766889572143555,6.548147678375244,8.294668197631836,12.514049530029297,27.956581115722656
2,00D3BEBED04D7B4A70F39D61429CBEAF,1.153104,0.443031,1.038597,1.114304,0.73006,1.173858,0.845332,1.01824,1.056667,1.056668,0.845331,0.902966,0.537938,0.345816,0.499512,0.461093,0.153698,0.404221,0.518725,0.6340024,0.6801087,0.7982608,0.30419114232063293,0.325613409280777,0.42199307680130005,0.44949206709861755,0.5101937651634216,0.6236029863357544,1.0476528406143188,0.31538161635398865,0.33052128553390503,0.4293746054172516,0.447587788105011,0.49316298961639404,0.5950982570648193,1.0205670595169067
3,01361365C5BDE40FB3EFFE3F1B6C4A7D,0.308,0.11,2.37952,1.215104,0.62964,0.96228,1.14048,0.58212,0.21384,0.28512,0.054648,0.15444,0.20196,0.1188,0.33264,0.04752,0.13068,0.297,0.01188,0.040709,0.081972,0.177605,0.024107851088047028,0.030720533803105354,0.06820304691791534,0.08342352509498596,0.12116841971874237,0.22338181734085083,0.8520420789718628,0.02673760987818241,0.031281668692827225,0.0701179951429367,0.0815134197473526,0.1095997765660286,0.19598953425884247,0.7875930070877075
4,01BB62BAEEC78F57A7C2AE8985C5D35B,0.166586,0.017498,0.08924,0.061244,0.131236,0.069992,0.08749,0.131235,0.061244,0.113738,0.061243,0.131234,0.061243,0.087491,0.061243,0.026247,0.043746,0.008749,0.017498,0.008924,0.0524952,0.0800555,0.013634961098432541,0.014858130365610123,0.024214738979935646,0.028299877420067787,0.03628149256110191,0.05586257576942444,0.12325803935527802,0.014529063366353512,0.015210570767521858,0.02471115253865719,0.02761114574968815,0.03364034369587898,0.05022554099559784,0.11602193862199783
5,01BFC2C6A15C34FFEAAC7A632C3E4DB4,0.786896,0.319666,2.124968,0.742458,0.698761,2.63628,0.956442,1.803092,1.405348,0.928064,1.12693,0.782222,0.344712,0.649672,0.623134,0.185628,0.26516,0.185612,0.093208,0.22937,0.579424,0.121984,0.13426576554775238,0.15608634054660797,0.2576776444911957,0.2868809401988983,0.37042224407196045,0.5707369446754456,1.3885202407836914,0.14277078211307526,0.15931598842144012,0.26379814743995667,0.28492802381515503,0.34838080406188965,0.5307103991508484,1.3380907773971558
6,01D663F197D4D7996E4E0EF8226FE64B,27.64356,15.7656,75.32532,167.286846,203.54712,5.741946,17.501652,47.895384,28.492206,120.643668,26.423556,49.647,26.313228,15.99756,70.251354,40.13211,50.832624,63.521226,74.167998,90.992358,49.9545,51.352854,4.0407208246051596e-08,4.120793892070651e-05,12.220341682434082,17.82297134399414,29.77898406982422,48.83036422729492,107.1793212890625,1.366003971270402e-06,0.00023519173555541784,13.620957374572754,17.587238311767578,26.670665740966797,43.78303146362305,103.77482604980469
7,027793D4861CF05544EBB1F82AFD0947,50.582,21.546,257.9017,123.155902,145.056977,159.126276,103.308551,187.020751,190.732504,264.861977,231.157501,94.447502,40.057502,79.931251,145.713757,70.008752,78.487325,67.722903,28.518005,70.8907465,108.191986,12.2138565,11.025284767150879,18.63507080078125,50.35041809082031,59.235050201416016,73.45672607421875,98.01329803466797,184.63925170898438,16.082931518554688,21.1953125,52.297821044921875,59.20561218261719,68.96353149414062,90.80076599121094,179.80245971679688
8,02A06A4A97DB513FF05B6532F8BAFA23,0.092896,0.031106,0.083367,0.054784,0.035728,0.0262,0.064312,0.064312,0.042877,0.09051,0.069072,0.071459,0.100039,0.071458,0.047638,0.028582,0.033347,0.080983,0.014293,0.0928915,0.0992023,0.11909,0.023864377290010452,0.025169869884848595,0.03258167952299118,0.03521250933408737,0.03997981548309326,0.04942764714360237,0.08573486655950546,0.02473197691142559,0.025543566793203354,0.03323880583047867,0.0349670872092247,0.03861670196056366,0.046923164278268814,0.08284641802310944
9,02A1CC35184D0BE3438AC9D2B1DE11D2,1.615,1.53,2.65625,1.90485,7.27515,6.72435,1.5147,3.0753,1.1475,2.96055,2.9835,2.59335,0.0459,0.3672,1.377,0.66555,0.7344,2.57265,0.55865,0.86751,0.95013,0.3431025,0.19092021882534027,0.13401204347610474,0.4867478609085083,0.5672820210456848,0.9651827216148376,1.568266749382019,3.289590358734131,0.21581819653511047,0.1424730122089386,0.503402054309845,0.5475173592567444,0.8649505972862244,1.4063827991485596,3.158168315887451
